"qb","school","bin","epa","cpoe","passes"
"233","Baylor Hayes","Tulsa","BL",1.53980189561844,14.7870610157649,6
"234","Baylor Hayes","Tulsa","BR",0.621496915817261,11.7592453956604,4
"235","Baylor Hayes","Tulsa","DC",2.11394953727722,30.3940787911415,2
"236","Baylor Hayes","Tulsa","DL",-1.65354818105698,-41.9427355130514,3
"237","Baylor Hayes","Tulsa","DR",3.91243624687195,67.8346514701843,1
"238","Baylor Hayes","Tulsa","MC",2.23156452178955,-4.983289539814,4
"239","Baylor Hayes","Tulsa","ML",-0.516859531402588,-56.5070986747742,1
"240","Baylor Hayes","Tulsa","SC",0.578118145465851,5.1980747282505,5
"241","Baylor Hayes","Tulsa","SL",-2.14222860336304,-0.158090591430664,10
"242","Baylor Hayes","Tulsa","SR",-3.00064277648926,4.23346360524496,9
"243","Baylor Hayes","Tulsa",NA,-2.81402158737183,-45.0063958764076,6
"244","Bear Bachmeier","BYU","BC",3.19956994056702,24.2564558982849,1
"245","Bear Bachmeier","BYU","BL",4.0170955657959,9.69472279151281,6
"246","Bear Bachmeier","BYU","BR",0.688251495361328,30.2301062270999,4
"247","Bear Bachmeier","BYU","DC",3.01077771186829,38.2706165313721,1
"248","Bear Bachmeier","BYU","DL",3.16788446903229,-13.3560188114643,4
"249","Bear Bachmeier","BYU","DR",2.62667071819305,29.18671220541,2
"250","Bear Bachmeier","BYU","MC",0.449208736419678,-17.1440064907074,4
"251","Bear Bachmeier","BYU","ML",6.35596823692322,6.98312044143677,5
"252","Bear Bachmeier","BYU","MR",1.0239155292511,35.7117354869843,1
"253","Bear Bachmeier","BYU","SC",-0.927488267421722,-18.8607352120536,7
"254","Bear Bachmeier","BYU","SL",-0.753961205482483,-6.83149099349976,11
"255","Bear Bachmeier","BYU","SR",6.34908699989319,24.0926889272837,13
"256","Bear Bachmeier","BYU",NA,1.58514213562012,22.7937281131744,1
"257","Beau Pribula","Virginia","BC",-3.4149261713028,4.23430701096853,3
"258","Beau Pribula","Virginia","BL",0.222682178020477,0.0198662281036377,5
"259","Beau Pribula","Virginia","BR",-1.81998288631439,12.9814195632935,5
"260","Beau Pribula","Virginia","DC",2.16619682312012,9.35187935829163,3
"261","Beau Pribula","Virginia","DL",0.274193048477173,13.8651426881552,2
"262","Beau Pribula","Virginia","DR",5.54225265979767,1.41968131065369,5
"263","Beau Pribula","Virginia","ML",-1.51184797286987,-55.504721403122,1
"264","Beau Pribula","Virginia","MR",4.24160134792328,21.9508655369282,3
"265","Beau Pribula","Virginia","SC",3.0640162229538,29.737389087677,4
"266","Beau Pribula","Virginia","SL",4.86959451436996,4.08187093479293,14
"267","Beau Pribula","Virginia","SR",-0.551583647727966,0.455039739608765,8
"268","Billy Edwards Jr.","North Carolina","BC",1.17128849029541,-1.85196995735168,2
"269","Billy Edwards Jr.","North Carolina","BL",-1.01277148723602,-41.6520476341248,4
"270","Billy Edwards Jr.","North Carolina","BR",5.65431806445122,-5.50656380752722,12
"271","Billy Edwards Jr.","North Carolina","DC",2.33971017599106,6.39976942911744,4
"272","Billy Edwards Jr.","North Carolina","DL",0.506120204925537,11.4852428436279,2
"273","Billy Edwards Jr.","North Carolina","DR",-1.16089260578156,-22.4787648767233,2
"274","Billy Edwards Jr.","North Carolina","MC",5.90928786993027,-12.4898165464401,6
"275","Billy Edwards Jr.","North Carolina","ML",0.0705199837684631,1.2958524748683,8
"276","Billy Edwards Jr.","North Carolina","MR",-1.43162477016449,-23.5973301861021,9
"277","Billy Edwards Jr.","North Carolina","SC",-3.77590078115463,-15.7169925048947,12
"278","Billy Edwards Jr.","North Carolina","SL",8.78358888626099,15.2871019310421,9
"279","Billy Edwards Jr.","North Carolina","SR",2.6875387430191,4.6424001455307,8
"280","Bishop Davenport","South Alabama","BC",1.10150718688965,10.8103394508362,1
"281","Bishop Davenport","South Alabama","BL",-1.83807337284088,11.9899553912027,7
"282","Bishop Davenport","South Alabama","BR",-2.43545880913734,13.4490713477135,4
"283","Bishop Davenport","South Alabama","DC",-0.124528169631958,-36.7895066738129,1
"284","Bishop Davenport","South Alabama","DL",4.09299755096436,65.5344247817993,1
"285","Bishop Davenport","South Alabama","DR",-2.6134192943573,-39.9499580264091,2
"286","Bishop Davenport","South Alabama","MC",1.39918041229248,-20.743992626667,10
